gpa,Introduction to Computer Science,Mathematics for Computing,Programming Fundamentals,Fundamentals of Electronics,result
3.69,4.3,3.3,4,4,PASS
1.3,2.7,1.7,0,0,FAIL
0,0,0,0,0,FAIL
2.7,4,4,3,4,FAIL
2.98,3.7,2.7,4,3.3,FAIL
3.04,4,4,2.7,4,FAIL
3.25,4,4,3.3,4,FAIL
0,0,0,0,0,FAIL
2.03,3,3.3,0,3.7,FAIL
3.53,4,4.3,3,3.7,PASS
2.46,3.3,2.7,1.7,3.3,FAIL
2.48,3.7,1.7,3.3,1.3,FAIL
2.89,4,4.3,3,3.7,FAIL
4,4.3,4.3,4.3,4,PASS
3.31,4,4.3,3.7,3.7,PASS
2.32,3.7,2.7,1,3,FAIL
1.64,2,2.3,2,1,FAIL
2.94,3.7,4,2.7,3.3,FAIL
1.85,4,3,1.7,3,FAIL
3.08,3.3,3.3,2,4,FAIL
2.21,2.7,2.7,1.7,2,FAIL
0,0,0,0,0,FAIL
3.12,4,4,2.3,4,FAIL
3.04,2.7,3.7,3.7,2,FAIL
2.26,3.7,2,2.7,3.7,FAIL
1.88,2,2.7,1.3,2.7,FAIL
2.56,4,3.7,1.7,3,FAIL
2.36,1,2.3,1.7,1.7,FAIL
2.48,4,3.7,3.3,3,FAIL
2.03,3.3,2.3,2.7,3,FAIL
0.96,3.7,2.3,1.7,0,FAIL
1.38,4,1.7,1.3,0,FAIL
3.56,4.3,4.3,4,3.3,PASS
2.69,3.3,3.3,3,3,FAIL
0,0,0,0,0,FAIL
2.51,4,2.7,2.7,3,FAIL
3.47,4,3.7,3.7,4,PASS
2.86,3.3,3.7,2.3,3.7,FAIL
2.23,2.7,3,2,2,FAIL
3.71,4,4,4.3,4,PASS
3.3,4,3.3,4.3,4,PASS
0,0,0,0,0,FAIL
1.62,4.3,4,3.3,2.3,FAIL
